insee_code_commune,adedpe202006_nb_classe_ges_c,adedpe202006_nb_classe_ene_c,adedpe202006_nb_classe_ene_e,adedpe202006_nb_classe_ges_d,adedpe202006_nb_classe_ene_b,adedpe202006_nb_classe_ene_d,adedpe202006_nb_classe_ene_nc,adedpe202006_nb_classe_ges_a,adedpe202006_nb_classe_ges_e,adedpe202006_nb_classe_ges_b,bnb_id,adedpe202006_nb_classe_ene_a,adedpe202006_nb_classe_ene_g,adedpe202006_nb_classe_ene_f,adedpe202006_nb_classe_ges_f,adedpe202006_nb_classe_ges_nc,adedpe202006_nb_classe_ges_g,st_x,st_y,geometry
1024,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,010240000A1478_417a1bf49f2ee84,0.0,0.0,0.0,0.0,2.0,0.0,5.149405922274077,46.29693804019219,POINT (5.149405922274077 46.29693804019219)
1024,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,01024000AA0003_7ccf7b85377b1d0,0.0,0.0,0.0,0.0,0.0,0.0,5.160542355927424,46.294478852785986,POINT (5.160542355927424 46.29447885278599)
1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01024000AA0027_083855cbbb48c8e,0.0,0.0,1.0,1.0,0.0,0.0,5.159435213837235,46.29242698651838,POINT (5.159435213837235 46.29242698651838)
1024,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01024000AA0094_982d803efd2fa04,0.0,0.0,0.0,0.0,0.0,2.0,5.155811363772029,46.29428833691017,POINT (5.155811363772029 46.29428833691017)
1024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01024000AA0097_e02dc7cd595380b,0.0,0.0,0.0,1.0,0.0,0.0,5.156596508150053,46.29395026106171,POINT (5.156596508150053 46.29395026106171)
1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01024000AA0102_abe9ef69b3ef308,0.0,0.0,1.0,0.0,0.0,1.0,5.157934092354888,46.29429286289775,POINT (5.157934092354888 46.29429286289775)
1024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,01024000AA0116_b36de9c4f1e231e,0.0,0.0,0.0,0.0,0.0,0.0,5.156798889987374,46.2958592632973,POINT (5.156798889987374 46.2958592632973)
1024,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,01024000AA0117_a35941279d6b4e9,0.0,0.0,0.0,0.0,0.0,0.0,5.156702037930873,46.295810950142645,POINT (5.156702037930873 46.29581095014264)
1024,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01024000AA0119_6ee8dc1a88942ce,0.0,0.0,0.0,0.0,0.0,0.0,5.156349487367179,46.29563135293193,POINT (5.156349487367179 46.29563135293193)
1024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,01024000AA0120_f3164b50f920aff,0.0,0.0,0.0,0.0,0.0,0.0,5.156083018332727,46.29546881150433,POINT (5.156083018332727 46.29546881150433)
1024,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01024000AA0144_44ff5dc5a001c1e,0.0,0.0,0.0,0.0,0.0,0.0,5.158296805905089,46.296114929896454,POINT (5.158296805905089 46.29611492989645)
1024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,01024000AA0150_f2ac96289e3075e,0.0,0.0,0.0,0.0,0.0,0.0,5.1576076592729505,46.295750819470115,POINT (5.157607659272951 46.29575081947011)
1024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,01024000AA0157_b40b8d7afe73175,0.0,0.0,0.0,0.0,0.0,0.0,5.157926119932373,46.29542963240521,POINT (5.157926119932373 46.29542963240521)
